review_id;review_text;rating;review_date
1;Accuracy with my Garmin is decent but could be better on trails.;3;17/08/2023
2;Overall acceptable accuracy with my Huawei Band for casual runs.;3;27/08/2024
3;Really happy with the GPS accuracy when paired with my Garmin.;4;01/06/2024
4;Data from my Suunto uploads fast and looks very accurate in Strava.;5;14/08/2023
5;Really happy with the GPS accuracy when paired with my Polar.;5;15/12/2023
6;Accuracy with my Fitbit is terrible, distance is always off by at least 500m.;1;25/01/2024
7;Accuracy with my Coros is decent but could be better on trails.;3;15/04/2024
8;Data from my Samsung Watch uploads fast and looks very accurate in Strava.;5;05/10/2024
9;Sync with my Coros is normal, nothing special, nothing too bad.;3;16/02/2023
10;Really happy with the GPS accuracy when paired with my Polar.;4;25/01/2024
11;Heart rate and pace from my Coros match almost exactly with Strava. Great job!;5;03/08/2023
12;Sync with my Huawei Band is normal, nothing special, nothing too bad.;3;17/06/2023
13;Overall acceptable accuracy with my Polar for casual runs.;3;29/11/2023
14;Nice interface but sometimes the GPS drifts a bit.;2;20/11/2023
15;Data from my Huawei Band uploads fast and looks very accurate in Strava.;5;06/08/2023
16;Sometimes Strava is spot on with my Samsung Watch, sometimes pace jumps a bit.;3;29/09/2023
17;Accuracy with my Suunto is decent but could be better on trails.;4;20/08/2024
18;Data from my Fitbit uploads fast and looks very accurate in Strava.;5;04/04/2023
19;Really happy with the GPS accuracy when paired with my Huawei Band.;5;02/09/2024
20;Sometimes Strava is spot on with my Samsung Watch, sometimes pace jumps a bit.;4;20/07/2024
21;App is good for tracking my runs and sharing with friends.;4;18/10/2024
22;Strava shows very different pace compared to my Polar, super annoying.;2;04/01/2023
23;I mostly use it for cycling and it's okay.;3;03/06/2024
24;I mostly use it for cycling and it's okay.;3;06/06/2023
25;Overall acceptable accuracy with my Apple Watch for casual runs.;3;05/09/2024
26;Heart rate and pace from my Garmin match almost exactly with Strava. Great job!;5;03/09/2023
27;Surprisingly accurate with my Huawei Band, even in the city with tall buildings.;4;29/06/2024
28;Sometimes Strava is spot on with my Apple Watch, sometimes pace jumps a bit.;3;29/09/2023
29;Data from my Samsung Watch uploads fast and looks very accurate in Strava.;4;16/11/2023
30;Syncing from my Coros is fine but the stats in Strava are not accurate at all.;2;04/05/2023
31;Accuracy with my Huawei Band is terrible, distance is always off by at least 500m.;1;25/08/2024
32;Works okay with my Huawei Band, some runs are accurate, some are a bit off.;3;11/03/2023
33;App is good for tracking my runs and sharing with friends.;3;13/10/2023
34;Sync with my Fitbit is normal, nothing special, nothing too bad.;4;06/09/2023
35;Sync with my Samsung Watch is super accurate, distance and pace match perfectly.;4;05/11/2024
36;GPS track is all over the place when using my Samsung Watch.;1;20/11/2024
37;Surprisingly accurate with my Huawei Band, even in the city with tall buildings.;5;22/04/2023
38;Sometimes Strava is spot on with my Fitbit, sometimes pace jumps a bit.;3;08/03/2024
39;Sync with my Xiaomi Band is super accurate, distance and pace match perfectly.;5;17/07/2024
40;Sync with my Suunto is super accurate, distance and pace match perfectly.;4;20/06/2023
41;Surprisingly accurate with my Xiaomi Band, even in the city with tall buildings.;4;18/06/2023
42;GPS track is all over the place when using my Samsung Watch.;2;09/03/2024
43;Sometimes Strava is spot on with my Suunto, sometimes pace jumps a bit.;3;14/07/2023
44;Overall acceptable accuracy with my Garmin for casual runs.;3;18/11/2023
45;Overall acceptable accuracy with my Xiaomi Band for casual runs.;3;28/02/2023
46;Nice interface but sometimes the GPS drifts a bit.;2;01/09/2024
47;Accuracy with my Fitbit is terrible, distance is always off by at least 500m.;1;15/08/2024
48;Syncing from my Huawei Band is fine but the stats in Strava are not accurate at all.;2;25/09/2023
49;Heart rate and pace from my Coros match almost exactly with Strava. Great job!;5;15/05/2023
50;Heart rate data from my Polar looks wrong once it syncs to Strava.;1;10/01/2023
